tile,repetition,codec,preset,qp,height,time
suburb13.y4m,4,hevc_nvenc,p1,34,320,4.398
suburb13.y4m,0,hevc_nvenc,p1,36,0,4.69
suburb13.y4m,1,hevc_nvenc,p1,36,0,4.748
suburb13.y4m,2,hevc_nvenc,p1,36,0,4.75
suburb13.y4m,3,hevc_nvenc,p1,36,0,4.679
suburb13.y4m,4,hevc_nvenc,p1,36,0,4.721
suburb13.y4m,0,hevc_nvenc,p1,36,320,4.329
suburb13.y4m,1,hevc_nvenc,p1,36,320,4.089
suburb13.y4m,2,hevc_nvenc,p1,36,320,4.406
suburb13.y4m,3,hevc_nvenc,p1,36,320,4.545
suburb13.y4m,4,hevc_nvenc,p1,36,320,4.183
suburb13.y4m,0,hevc_nvenc,p1,38,0,4.709
suburb13.y4m,1,hevc_nvenc,p1,38,0,4.685
suburb13.y4m,2,hevc_nvenc,p1,38,0,4.742
suburb13.y4m,3,hevc_nvenc,p1,38,0,4.746
suburb13.y4m,4,hevc_nvenc,p1,38,0,4.652
suburb13.y4m,0,hevc_nvenc,p1,38,320,4.353
suburb13.y4m,1,hevc_nvenc,p1,38,320,4.359
suburb13.y4m,2,hevc_nvenc,p1,38,320,4.303
suburb13.y4m,3,hevc_nvenc,p1,38,320,4.209
suburb13.y4m,4,hevc_nvenc,p1,38,320,4.31
suburb13.y4m,0,hevc_nvenc,p1,40,0,4.759
suburb13.y4m,1,hevc_nvenc,p1,40,0,4.689
suburb13.y4m,2,hevc_nvenc,p1,40,0,4.645
suburb13.y4m,3,hevc_nvenc,p1,40,0,4.71
suburb13.y4m,4,hevc_nvenc,p1,40,0,4.702
suburb13.y4m,0,hevc_nvenc,p1,40,320,4.261
suburb13.y4m,1,hevc_nvenc,p1,40,320,4.442
suburb13.y4m,2,hevc_nvenc,p1,40,320,4.294
suburb13.y4m,3,hevc_nvenc,p1,40,320,4.065
suburb13.y4m,4,hevc_nvenc,p1,40,320,4.47
suburb13.y4m,0,hevc_nvenc,p2,18,0,6.571
suburb13.y4m,1,hevc_nvenc,p2,18,0,6.536
suburb13.y4m,2,hevc_nvenc,p2,18,0,6.562
suburb13.y4m,3,hevc_nvenc,p2,18,0,6.569
suburb13.y4m,4,hevc_nvenc,p2,18,0,6.534
suburb13.y4m,0,hevc_nvenc,p2,18,320,4.514
suburb13.y4m,1,hevc_nvenc,p2,18,320,4.203
suburb13.y4m,2,hevc_nvenc,p2,18,320,4.317
suburb13.y4m,3,hevc_nvenc,p2,18,320,4.151
